,House,Type_transaction,Huurprijs,Transactieprijs,Transactieprijs per m²,Aanvaarding,days_on_market,NVM makelaar,Adres,Plaats,Telefoon,E-mail,Oppervlakten_en_inhoud_Woonoppervlakte,Oppervlakten_en_inhoud_Externe bergruimte,Oppervlakten_en_inhoud_Inhoud,Indeling_Aantal kamers,Indeling_Aantal badkamers,Indeling_Badkamervoorz.,Indeling_Aantal woonlagen,Indeling_Voorzieningen,Energie_Verwarming,Energie_Warm water,Energie_C.V. ketel,Onderhoud_Binnen,Onderhoud_Buiten,Bouw_Type,Bouw_Soort,Bouw_Bouwvorm,Bouw_Bouwjaar,Buitenruimte_Ligging,Buitenruimte_Tuin,Bergruimte_Schuur/berging,Garage_Soort garage,Text_house,Servicekosten,VBO makelaar,Bouw_Bouwperiode,Parkeergelegenheid_Soort parkeergelegenheid,VGM makelaar,TAO makelaar,Energie_Energielabel,Energie_Isolatie,Buitenruimte_Totale oppervlakte,Bergruimte_Voorzieningen,prijsverloop_date,LMV makelaar,Oppervlakten_en_inhoud_Gebouwgebonden buitenruimte,Buitenruimte_Achtertuin,Buitenruimte_Achterom,Buitenruimte_Kwaliteit,VvE_checklist_VvE,VvE_checklist_VvE bijdrage,Buitenruimte_Balkon/dakterras,Buitenruimte_Plaats,Oppervlakten_en_inhoud_Overige inpandige ruimte,Garage_Capaciteit,Garage_Voorzieningen,Buitenruimte_Geen tuin,Bergruimte_Isolatie,Parkeergelegenheid_Parkeercapaciteit,Buitenruimte_Voortuin,Garage_Isolatie,Buitenruimte_Zijtuin,Buitenruimte_Patio/atrium
1227,"Clarastraat 10 a, 5211 LB 's-Hertogenbosch",In verhuur genomen,"€ 1.095,- p.m.","€ 1.095,-","€ 15,-",Direct,31,AMB Makelaars,Onderwijsboulevard 500,5223 DN  'S-Hertogenbosch,073 7113700,info@amb-makelaars.nl,73 m²,-,204 m³,4 kamers (3 slaapkamers),1,"Wastafelmeubel, Toilet, Douche, Wastafel",2 woonlagen,Tv kabel,C.V.-Ketel,C.V.-Ketel,-,redelijk tot goed,redelijk tot goed,Appartement,Bovenwoning,bestaande bouw,1775,In centrum,Geen tuin,-,Geen garage,"Goed bereikbaar en toch heel rustig gelegen. Deze hoekwoning ligt aan een doodlopende straat die gewoon met de auto bereikbaar is. Heel handig als je even je boodschappen wilt uitladen natuurlijk. Er is dus geen doorgaand verkeer, de straat is verderop afgesloten met een paaltje. De woning is per direct beschikbaar. 
Via de zijkant van de woning bereiken we de entree, hier bevindt zich een ruime hal welke is voorzien van een toilet en trapkast. Vanuit de overloop is de woonkamer met halfopen keuken bereikbaar welke is voorzien van een gaskooplaat, afzuigkap en een oven. Ook bereik je vanuit de overloop de badkamer voorzien van een douchecabine, toilet en wastafel met wastafelmeubel, bergkast en de opgang naar de 3 slaapkamers. De slaapkamers zijn van ruim formaat en zijn voorzien van grote raampartijen. 
Aan de voorzijde van de woning bevindt zich het dakterras, daarnaast is er bij de voordeur nog een voortuin, hier kunnen eventueel fietsen gestald worden. 
Bijzonderheden:
-Er dient rekening gehouden te worden met schilder werkzaamheden;
-Beschikbaar voor maximaal 2 jaar;
-Per direct beschikbaar;
-Dakterras;
-Top locatie in het centrum van 's-Hertogenbosch.",-,-,-,Openbaar parkeren en betaald parkeren,-,-,-,Gedeeltelijk dubbel glas,-,-,-,-,11 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1228,"Papsouwselaan 95, 2624 AJ Delft",In verhuur genomen,"€ 1.095,- p.m.","€ 1.095,-","€ 16,85",In overleg,24,Bjornd Makelaardij,Oude Delft 103,2611 BD  Delft,015-2135139,info@bjornd.nl,65 m²,8 m²,195 m³,3 kamers (2 slaapkamers),1,"Douche, Wastafel",1 woonlaag,Lift,-,-,-,slecht tot matig,goed,Appartement,Bovenwoning,bestaande bouw,1965,In woonwijk en vrij uitzicht,Geen tuin,Box,Geen garage,"English text below!
Recent gerenoveerd en gestoffeerd 3-kamer appartement op de derde etage gelegen met balkon en eigen berging aan de rand van het centrum in Delft. Dit luxe afgewerkte appartement is recent geschilderd en voorzien van een nieuwe keuken en badkamer. Het appartementencomplex ligt op loopafstand van winkels, restaurants en diverse voorzieningen zoals openbaar vervoer en het centrum van Delft. In 10 minuten loopt u naar het station, het centrum of de campus van TU Delft. Huurprijs is 1.095,= per maand exclusief € 25,- per maand aan servicekosten en exclusief G/W/E/TV en internet. Beschikbaar per direct.
Indeling:
Begane grond: afgesloten entree, lift, berging in de onderbouw en het trappenhuis.
Derde verdieping: entree hal, ruime woonkamer met toegang tot balkon en uitzicht op de Papsouwselaan, nieuwe  keuken voorzien van kookunit met combi-oven, afzuigkap, vaatwasser en koelkast, ruime hoofdslaapkamer (van ca. 12 m2) tweede slaap-/studeerkamer (ca.4,5 m2), badkamer met douche, wastafel en toilet. Veel opbergruimte door diverse inbouwkasten in de woning. De woning is volledig voorzien van een laminaat vloer.
Voorwaarden:
- Te huur voor een gezinshuishouden van maximaal 3 personen of een stel, geen studenten, PHD-stel is mogelijk, geen groepsverhuur
- 1 maand waarborgsom betaalbaar voor de aanvang van het huurcontract
- De huur moet voor de 1e van de betreffende maand op de rekening staan van de verhuurder
- Er worden geen uitlatingen gedaan over het toewijzingsbeleid
- Te huur voor minimaal 12 maanden 
- 1 maand kijkrecht voor de verhuurder bij beëindiging van het huurcontract
- Het houden van huisdieren in het gehuurde is niet toegestaan
- ROZ huurcontract (www.roz.nl)
- Er mag niet gerookt worden en er mogen geen veranderingen aan het gehuurde plaatsvinden zonder schriftelijke toestemming van verhuurder.
Dit is een aanbod waar geen rechten aan kunnen worden ontleend, daar wijzigingen mogelijk zijn
Procedure als u een woning wilt huren:
Bij interesse voor een huurwoning dient u bij ons aan te leveren
1. kopie paspoort dan wel ander geldig legitimatiebewijs
2. kopie loonstrook dan wel contract
3. volledig ingevulde en ondertekende intentieverklaring (zit in brochure)
Wij zullen dan contact opnemen met de verhuurder en uw verzoek voorleggen.
Indien de verhuurder akkoord gaat zullen wij een huurcontract in opstellen conform model Raad van Onroerende Zaken. Wij zullen deze per email aan u toesturen ter goedkeuring, vervolgens zullen wij een afspraak voor ondertekening inplannen alsmede een afspraak voor de opleveringsinspectie van de door u gehuurde woning (u ontvangt dan van ons de sleutel).
Recently renovated and unfurnished 3-room apartment situated on the third floor with balcony and private storage room, near the center of Delft. This luxuriously finished apartment has been recently painted and has a new kitchen and bathroom. The apartment complex is within walking distance of shops, restaurants and various facilities such as public transport and the center of Delft. It is a 10-minute walk to the station, the center or the TU Delft campus. Rent is € 1.095,- per month excluding € 25,- per month servicecosts and excluding G/W/E/TV and internet. Available immediate.
Layout:
Ground floor: closed entrance, elevator, storage room in the basement and staircase.
Third floor: entrance hall, spacious living room with access to balcony and view of the Papsouwselaan, new kitchen with cooking unit with combi oven, extractor hood, dishwasher and refrigerator, spacious master bedroom (approx. 12 m2), second bedroom/study (approx. 4.5 m2). Bathroom with shower, sink and toilet. Lots of storage space due to various built-in cupboards in the home. The house is fully equipped with with laminated floorings.
Conditions:
- Suitable for a familyhousehold of maximum 3 persons or a couple, no students, PHD-couple is possible, no group rental
- 1 month deposit
- Rent needs to be paid in advance
- There will be no explanations regarding the selecting process
- Minimum 12 months contract 
- 1 month viewing rights at termination off the contract
- It is not allowed to keep pets in the rental
- ROZ-rental contract (www.roz.nl)
- No smoking and no changes can be made to the property (painting, drilling etc) without the written consent from the owner.
From this offer from which no rights can be obtained, since changes are possible
How to proceed if you want to rent a home:
Deliver to our office
1.Copy passport
2.Copy payslip or employment contract
3.fully filled out and signed intention declaration (as attached in our brochures)
We will contact the owner and discuss your request. If the owner confirms the deal we will draft a rental contract (Model Council of Immovable goods: www.roz.nl) We present you a concept via email and schedule a appointment for signing the contract and also a appointment for inspection of your new home. We will inspect the place together with you and if all is well you receive the key.","€ 25,-",-,-,Parkeervergunningen,-,-,C (einddatum: 20-01-2021),-,-,-,-,-,6 m²,-,-,-,-,-,Balkon aanwezig,-,-,-,-,-,-,-,-,-,-,-
1229,"Groningsestraat 19, 2587 RJ 's-Gravenhage",In verhuur genomen,"€ 1.095,- p.m.","€ 1.095,-","€ 21,90",In overleg,24,-,Badhuisstraat 127,2584 HG  'S-Gravenhage,070-3586391,info@anvastgoed.nl,50 m²,-,150 m³,2 kamers (1 slaapkamer),1,"Wastafelmeubel, Inloopdouche",1 woonlaag,-,-,-,-,uitstekend,goed,Appartement,Benedenwoning,bestaande bouw,1926,Aan rustige weg,Geen tuin,-,Geen garage,"Compleet gerenoveerd appartement nabij boulevard en strand
Deze zeer lichte en fraai gerenoveerde appartement op de begane grond beschikt over een nieuwe keuken, toilet en badkamer. De woonkamer en de slaapkamer beschikken beide over een leuke erker en is voorzien van een mooi (visgraat) parket. Gelegen op loopafstand van het strand. Ook zijn diverse winkels, theater en bioscoop op loopafstand bereikbaar. Openbaar vervoer in de directe nabijheid.
Huurprijs is inclusief G/W/E, TV & Internet
Indeling
Gemeenschappelijke entree en hal. Entree appartement. Ruime woon/eetkamer met open keuken. Deze nieuwe, moderne keuken is van alle gemakken voorzien. Het toilet is bereikbaar via de woonkamer. Middels openslaande deuren is de ruime (en zeer lichte) slaapkamer bereikbaar. De slaapkamer heeft een en suite badkamer die voorzien is van een inloopdouche en een wastafelmeubel.","€ 15,-",A & N Vastgoed,1906-1930,"Openbaar parkeren, betaald parkeren en parkeervergunningen",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1230,"Marco Pololaan 267, 3526 GD Utrecht",In verhuur genomen,"€ 1.095,- p.m.","€ 1.095,-","€ 13,69",Per datum 01-04-2021,8,Beumer Garantiemakelaars,Meerndijk 7,3454 HM  De Meern,030-6776000,info@beumer.nl,80 m²,3 m²,200 m³,4 kamers (3 slaapkamers),1,Douche,1 woonlaag,Lift,Stadsverwarming,Geiser huur,-,redelijk,goed,Appartement,Galerijflat,bestaande bouw,1964,In woonwijk,Geen tuin,Box,Geen garage,"Te huur vanaf 1 april 2021
In Kanaleneiland Zuid gelegen, 4-kamer appartement met balkon op het zuiden. Het eenvoudige maar ruime appartement is gelegen op de derde woonlaag van het appartementencomplex, Marco Polo, vernoemd naar de Italiaanse ontdekkingsreiziger. Het appartement ligt boven een winkelgebied en het heeft een vrij uitzicht. In de onderbouw is een goed afgesloten berging.  
Het appartement is gelegen in het zuid-westelijk deel van Utrecht met een uitstekende verbinding naar de diverse uitvalswegen, een redelijke afstand naar het stadscentrum en goede bereikbaarheid met openbaar vervoer. Ook is in de wijk en rondom het complex altijd voldoende parkeergelegenheid. 
Indeling
Begane grond: 
Intercom, afgesloten entree, trappenhuis en liftinstallatie. In totaal zijn er 84 woonappartementen en 22 winkelruimten in de vereniging.
Appartement 
Entree, gang met toegang tot de hal. De hal geeft toegang tot alle vertrekken. De ruime woonkamer heeft een oppervlakte van ongeveer 30 m2 en bestaat uit een voorkamer 4.20 x 2.65 en een achterkamer 5.50 x 3.80. De twee kamers worden thans nog gescheiden door een lichte wandconstructie. Aan de voorzijde is een kleine werk-/slaapkamer 2.70 x 2.00. Eenvoudige keuken 3.60 x 2.00 met voldoende ruimte voor losse apparatuur. De badkamer 1.65 x 1.05 met douche en vaste wastafel, er is een apart toilet. Aan de achterzijde is een ruime slaapkamer 4.10 x 3.35 met toegang tot het balkon welke is gelegen op het zuidoosten.","€ 25,-",-,1960-1970,-,-,-,-,Dakisolatie en vloerisolatie,-,-,-,-,3 m²,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1231,"Paardenstraat 52, 1017 CX Amsterdam",In verhuur genomen,"€ 1.095,- p.m.","€ 1.095,-","€ 36,50",Direct,8,-,Lange Leidsedwarsstraat 170 C,1017 NP  Amsterdam,06 46534920,info@rosmuller.nl,30 m²,6 m²,85 m³,1 kamer (1 slaapkamer),-,-,1 woonlaag,Mechanische ventilatie en lift,C.V.-Ketel,C.V.-Ketel,-,uitstekend,uitstekend,Appartement,Bovenwoning,bestaande bouw,1989,"Aan water, aan park, aan drukke weg, aan rustige weg en in centrum",Zonneterras,Box,Geen garage,"MINIMUM RENTAL PERIOD 12 MONTHS
We offer a high quality, renovated furnished STUDIO apartment of approx. 30 m² with elevator, storage and balcony in the center of Amsterdam! 
The apartment is situated on a fantastic location with excellent public transport facilities. Between the Amstel river and the vibrant Rembrandtplein. Supermarkets, shops, bars, cinema, flower-market, restaurants, everything within walking distance.
The apartment is situated on the 4th floor and is accessible by elevator!. 
Details: 
-Renovated
-Fantastic location
-Balcony
-Furnished
-Private (bike storage)
-Only for expats",-,-,-,Parkeervergunningen,-,Rosmuller Makelaars,A (einddatum: 10-10-2025),Volledig geïsoleerd,-,-,-,-,6 m²,-,-,-,-,-,-,-,-,-,-,4 m² (2.0m diep / 2.0m breed),-,-,-,-,-,-
1232,"De Brink 282, 2553 HE 's-Gravenhage",In verhuur genomen,"€ 1.095,- p.m.","€ 1.095,-","€ 15,-",In overleg,29,Röttgering Makelaars,Breitnerlaan 285,2596 HA  'S-Gravenhage,070-3245566,info@rottgering.nl,73 m²,20 m²,232 m³,3 kamers (2 slaapkamers),1,"Wasmachineaansluiting, Douche, Wastafel",1 woonlaag,Tv kabel,Blokverwarming,Centrale voorziening,-,goed,goed,Appartement,Portiekflat,bestaande bouw,1977,"Aan bosrand, aan water, aan park, in woonwijk en vrij uitzicht",Geen tuin,Box,Geen garage,"Nice 3 room apartment with two bedrooms located on the second floor with a lovely terrace with a quiet and green view over water. Complete with private storage and private parking!
Located near Park Madestein in a quiet residential area in Kraayenstein. Not only are there plenty of parks (Westduin, Park Meer en Bos, Bokkefort, Kijkduin and Ockenburgh), but also recreation in De Uithof is possible!
For your daily needs (and more) you can easily go to the shopping center around the corner. There you will find among the Hoogvliet supermarket, Bakery van Kempen, clothing stores and several restaurants. The shopping center Loosduinen is also within walking distance of the apartment. Here you will find an Albert Heijn, ALDI and the district office (always convenient!).
Around the corner from the apartment stops Randstad rail 2, which runs all the way to the Central Station and the new Mall of the Netherlands, 
It is located in the very popular district of Kraayenstein, near the stores, greenery, and close to the the beach, dunes and the sea (Kijkduin). 
Layout:
Communal entrance. Stairs to the 2nd floor. Entee. Hallway with toilet. Cozy living/dining room with windows over the entire width of the house with access to the sunny terrace with view over greenery and water. Modern kitchen with appliances. Bathroom with shower, sink. Two bedrooms. 
General information
Living area 73m²
Contents 232m³
Double glazed windows
Nice and quiet view
Private parking
Lovely sunny balcony with two heaters
Smoking not allowed
Pets not allowed
Partly furnished 
Including service costs, advance heating costs and hot water
Electricity and cooking gas costs are for tenant
Storage in the basement
Minimum rental contract of 12 months
Available directly
Maximum income for a single person household € 60.036,- gross per year, two person household € 70.036,- gross per year
The property cannot be made available until the permit has been issued
The tenant must submit the application in time to the municipality of The Hague
Required documents renting a living:
-copy valid ID
-3 recent salary statements
-3 recent bank statements with salary
-prove of income
-employer’s statement
-working contract
-number of family members",-,-,-,Openbaar parkeren en op afgesloten terrein,-,-,E (einddatum: 01-04-2029),Dubbel glas,-,-,-,-,7 m²,-,-,-,"Periodieke bijdrage, Vergadering VvE, Onderhoudsplan, Opstalverzekering, Inschrijving KvK, Reservefonds",-,Balkon aanwezig,-,-,-,-,-,-,-,-,-,-,-
1233,"Ringbaan-West 260, 5038 NX Tilburg",In verhuur genomen,"€ 1.095,- p.m.","€ 1.095,-","€ 14,60",In overleg,13,-,Hoofdstraat 25,5171 DJ  Kaatsheuvel,(+31) 85 003 02 22,info@berkhoutbiemansboer.nl,75 m²,4 m²,229 m³,3 kamers (2 slaapkamers),1,"Inloopdouche, Toilet, Wastafel, Ligbad",1 woonlaag,Tv kabel,C.V.-Ketel,C.V.-Ketel,"Remeha (Gas gestookt combiketel uit 2021, eigendom)",uitstekend,uitstekend,Appartement,Benedenwoning,bestaande bouw,1929,In woonwijk,Achtertuin,Vrijstaand hout,Geen garage,"Op deze toplocatie mogen we dit prachtige appartement aanbieden.
Het appartement is volledig gerenoveerd en high end afgewerkt. 
Indeling:
Bij binnenkomst in de hal komt u in het appartement op de begane grond. De heerlijke woonkamer met en suite deur naar de voorkamer zijn voorzien van een mooie laminaatvloer en prachtig afgewerkte wanden en plafonds. De leefkeuken met mooie stenen vloer en nieuwe keuken welke is voorzien van koelkast, vriezer, vaatwasser, inductie kookplaat en afzuigschouw en voldoende kast- en werkruimte. De luxe badkamer is voorzien van mooie vloer- en wand betegeling, ligbad, inloopdouche, wastafelmeubel, verlichte spiegel en hangcloset.
De ruime slaapkamer is aan de achterzijde gelegen en tevens voorzien van mooie vloer en strak afgewerkte wanden en plafond.
Vanuit de slaapkamer betreedt u de heerlijke en zonnige tuin van circa 12 meter diep. Tevens is er een kleine berging in de tuin.
Het gehele appartement is uitstekend geïsoleerd en voorzien van kunststof kozijnen met HR++ glas.
Bijzonderheden
-Toplocatie
-Luxe keuken
-Luxe badkamer
-Volledig geïsoleerd
-Ruime en zonnige tuin
-Per direct beschikbaar
Binnen kijken?? Maak een afspraak voor een bezichtiging, overdag in de avond of op zaterdag.
Oplevering:
Per direct.
Wij behartigen de belangen van de verhurende partij. Neem uw eigen aan huur makelaar mee!
Nadrukkelijk is vermeld dat deze informatieverstrekking niet als aanbieding of offerte mag worden beschouwd. Deze dient slechts als uitnodiging tot het doen van een bod. Aan deze gegevens kunnen geen rechten worden ontleend.
Toelichtingsclausule NEN2580
De Meetinstructie is gebaseerd op de NEN2580. De Meetinstructie is bedoeld om een meer eenduidige manier van meten toe te passen voor het geven van een indicatie van de gebruiksoppervlakte. De Meetinstructie sluit verschillen in meetuitkomsten niet volledig uit, door bijvoorbeeld interpretatieverschillen, afrondingen of beperkingen bij het uitvoeren van de meting.","€ 150,-",-,1906-1930,Openbaar parkeren,-,Berkhout Biemans & Boer Makelaars,-,"Dakisolatie, muurisolatie, vloerisolatie, dubbel glas en HR-glas",36 m²,-,-,-,-,36 m² (9.0m diep / 4.0m breed),Ja,Verzorgd,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1234,"Diakenhuisweg 133, 2033 AR Haarlem",In verhuur genomen,"€ 1.095,- p.m.","€ 1.095,-","€ 14,04",Per datum 01-05-2021,25,vb&t Verhuurmakelaars,Vestdijk 180,5611 CZ  Eindhoven,+31885454600,info@vbtverhuurmakelaars.nl,78 m²,-,218 m³,3 kamers (2 slaapkamers),1,"Wastafel, Ligbad",1 woonlaag,-,-,-,-,goed tot uitstekend,goed tot uitstekend,Appartement,Portiekflat,bestaande bouw,1990,-,Geen tuin,-,Geen garage,"Zuiderpolder II 
Deze 48 appartementen liggen aan de Diakenhuisweg, verspreid over twee gelijke woontorens met opvallend frisse kleuren metselwerk. Beide gebouwen tellen zes woonlagen, met ieder drie tot vijf appartementen. De woningen zijn bereikbaar via een ruime hal met lift, waar alleen bewoners toegang tot hebben. De appartementen beschikken standaard over twee balkons; aan slaap- en woonkamerzijde. De woningen op de begane grond beschikken over een tuin en een balkon op de eerste etage. Handig is ook de (fietsen)berging op de begane grond. Voor de auto is er voldoende plek rondom de woontorens.
Rustig en goed bereikbaar
De woonwijk Zuiderpolder ligt aan oostkant van Haarlem. De woonomgeving is rustig en vriendelijk, ook voor kinderen. Handig zijn de winkels rondom het Prinses Beatrixplein, op vijf minuten fietsafstand. Hier zijn een supermarkt, bakker, slagerij en een toko te vinden. De gezellige binnenstad van Haarlem ligt op 10 minuten fietsafstand. Genieten van de natuur kan volop in de directe omgeving. Bijvoorbeeld in de Kennemer Duinen of op het strand bij Bloemendaal. De ligging van de wijk is gunstig, nabij snelweg A9 en station Haarlem-Spaarnwoude. Hierdoor is het centrum van Amsterdam binnen een kwartier bereikbaar. Ook zijn er goede verbindingen met Schiphol, de Haarlemmermeer en de IJ-mond.
Heerlijk ruim wonen
Woonkamer
In woningen met een gunstige lichtinval door grote raampartijen. 
Keuken
De halfopen keuken is voorzien van inbouwapparatuur. 
Slaapkamers
Alle appartementen beschikken over 2 slaapkamers.
Bij de maisonnettes op de begane grond liggen de slaapvertrekken en de badkamer een etage hoger. 
Badkamer
De badkamer met een douche en wastafel is comfortabel. Sommige woningen zijn aanvullend uitgerust met een ligbad.
Ook handig is de inpandige berging in de woning. 
Balkon
Deze woningen zijn uitgerust met twee balkons of een terras (afhankelijk van het type).
Interesse?
Ga in de woningpresentatie op onze website naar [REAGEER] en geef hiermee aan dat je geïnteresseerd bent.
Ook voor onze toewijzingscriteria verwijzen wij je door naar onze website.
**Vb&t streeft ernaar om je zo goed mogelijk aan een passende huurwoning te helpen. Om dit te realiseren verzoeken wij je om jezelf in te schrijven via onze website. Inschrijven is altijd kosteloos en geheel vrijblijvend. Je kunt je inschrijven voor woningen die direct beschikbaar zijn, maar ook voor woningen die mogelijk toekomstig beschikbaar komen. Op basis van de door jou verstrekte informatie word je door ons automatisch per e-mail geïnformeerd wanneer er woningen beschikbaar zijn die voldoen aan je woonwensen. Je kunt het inschrijfformulier vinden op onze website.**
**Deze informatie is met de grootst mogelijke zorg samengesteld. Toch kunnen wij niet altijd voorkomen dat de informatie enigszins afwijkt van hetgeen je in of rond de woning ziet of heeft gezien. Dit kan met name gelden voor de brochure tekst, de plattegronden en maatvoeringen. Hieraan kunnen dan ook geen rechten worden ontleend.**","€ 59,-",-,-,-,-,-,C (einddatum: 30-08-2022),-,-,-,-,-,-,-,-,-,-,-,Balkon aanwezig,-,-,-,-,-,-,-,-,-,-,-
1235,"Zijdevlinder 188, 3863 HT Nijkerk",In verhuur genomen,"€ 1.095,- p.m.","€ 1.095,-","€ 13,86",In overleg,10,Midden Nederland Makelaars,Oranjelaan 4,3862 CX  Nijkerk Gld,033-2460601,nijkerk@mnm.nl,79 m²,-,278 m³,3 kamers (2 slaapkamers),1,"Wastafelmeubel, Inloopdouche",1 woonlaag,"Mechanische ventilatie, tv kabel, lift en glasvezel kabel",C.V.-Ketel en vloerverwarming geheel,C.V.-Ketel,-,goed tot uitstekend,goed tot uitstekend,Appartement,Galerijflat,bestaande bouw,2019,In woonwijk,Zonneterras,Inpandig,Geen garage,"Beschikbaar per 03 mei 2021
In het appartementencomplex ‘de Verbinding’ bieden wij dit ruime DRIE KAMER-HOEKAPPARTEMENT met een groot dakterras te huur aan. Het terras is zo’n 19 m², heeft vrij uitzicht en is op het zuidwesten gelegen. Een heerlijke ruime plek om te genieten van het buiten zijn.
Het complex ligt aan de entree van de wijk ‘de Terrassen’ en is in 2019 opgeleverd. Op de begane grond is een kerkelijk centrum; dit is een ontmoetingsplek voor de lokale gemeenschap waar vergaderingen, bijeenkomsten en activiteiten worden georganiseerd. In de kelder van het complex bevinden zich de inpandige bergingen van de appartementen.
In de directe omgeving is een speelplek voor kinderen. Scholen en een supermarkt zijn op loopafstand en uitvalswegen zijn makkelijk aan te rijden. 
INDELING
Via een afgesloten entree kan men via het trappenhuis of met lift  naar de verdiepingen. Dit appartement bevindt zich op de eerste verdieping van het complex.
Eerste verdieping: entree, lange hal met toegang tot alle vertrekken. Aan de rechterzijde van deze hal zijn de 2 slaapkamers gesitueerd. Aan de linkerzijde van de hal is de meterkast en het toilet met fonteintje. Ook vindt men aan deze zijde de moderne badkamer met ruime inloopdouche en wastafelmeubel. Aan het eind van de hal loopt men door naar de royale woonkamer met veel lichtinval en deuren naar grote dakterras op het zuidwesten. De woonkamer heeft een open keuken met diverse inbouwapparatuur, te weten inductiekookplaat, vaatwasser, combimagnetron en koelkast. Tevens bevindt zich in de woonkamer een inpandige berging met opstelplaats voor wasapparatuur en de cv-installatie.
De muren zijn strak afgewerkt en het appartement is grotendeels voorzien een laminaatvloer, welke overgenomen kan worden.
HUURVOORWAARDEN
- Huurprijs € 1.095,- per maand, exclusief servicekosten
- Servicekosten € 70,- per maand
- Waarborgsom éénmaal de maandhuur inclusief servicekosten (€ 1.165,-)
- Huurperiode minimaal 1 jaar
- Inkomenseis minimaal € 45.000,- per jaar","€ 70,-",-,-,Openbaar parkeren,-,-,A (einddatum: 16-09-2029),"Dakisolatie, muurisolatie, vloerisolatie, dubbel glas en volledig geïsoleerd",-,Voorzien van elektra,-,-,19 m²,-,-,Normaal,"Periodieke bijdrage, Vergadering VvE, Onderhoudsplan, Opstalverzekering, Inschrijving KvK, Reservefonds",-,-,-,3 m²,-,-,18 m² (3.0m diep / 6.0m breed),-,-,-,-,-,-
1236,"Laan van Nieuw Oosteinde 56 A, 2274 EH Voorburg",In verhuur genomen,"€ 1.095,- p.m.","€ 1.145,-","€ 15,27",Per datum 01-05-2021,17,-,Sweelinckplein 9 11,2517 GK  'S-Gravenhage,070-4158884,info@lutzrealestate.nl,75 m²,-,210 m³,3 kamers (2 slaapkamers),-,-,1 woonlaag,-,C.V.-Ketel,C.V.-Ketel,-,goed,goed,Appartement,Tussenverdieping,bestaande bouw,1951,In woonwijk,Geen tuin,Vrijstaand steen,Geen garage,"Vlakbij het sfeervolle oude centrum van Voorburg gelegen net drie kamer appartement met balkon en op loopafstand van openbaar vervoer, gezellige winkelstraat en meerdere internationale bedrijven. Dit appartement heeft een aparte berging en is nabij uitvalswegen en supermarkt. 
Indeling: gezamenlijke entree, trap naar de eerste etage, deur naar appartement, woonkamer met veel ramen op hoek gelegen ca 6 x 4, aparte keuken voorzien van diverse apparatuur, ruime bergkast, ruime slaapkamer ca 4 x 4 met toegang naar balkon, tweede achter slaapkamer met toegang naar balkon met veel zon ca 3.3 x 4, inbouw kasten, badkamer met wastafel meubel, douche en toilet.
Bijzonderheden:
- Erg centraal gelegen.
- Huurprijs is exclusief gas. water en elektriciteit.
- Borg is € 1095,=
Om in aanmerking te komen voor deze woning zijn de volgende stukken, in PDF-bestand benodigd: 
- Kopie paspoort / ID-kaart 
- Kopie arbeidsovereenkomst
- Kopie laatste drie loonstroken 
- Kopie bankafschriften
Indien u ondernemer bent: 
- Recent Uittreksel Kamer van Koophandel
- Recente jaarcijfers 
- Kopie paspoort / ID-kaart 
 De inkomenseis is minimaal 2,5 maal de huur netto
-------------------------------------------------------------------------------------------------------------------------------------------------
At the lovely old town center of Voorburg well maintained and partly furnished three-room apartment with a balcony & storage and within walking distance of public transportation, a great shopping street, and several international companies. Near roads and supermarket.
Layout: common entrance, stairs to first floor, door to apartment, living room with many windows on corner situated approx 6 x 4, separate kitchen with appliances, large storage closet, spacious bedroom approx 4 x 4 with access to balcony, second bedroom at the rear with access to balcony with plenty of sunshine approximately 3.3 x 4, fitted wardrobes, bathroom with sink, shower, and toilet.
Specifics:
- Very centrally located.
- Rent is excluding gas. water and electricity.
- Deposit is € 1095,=  
Required documents:   In order to apply for this apartment we ask for the following documents in the PDF-extension: 
- Copy of your passport, or ID-card and visa 
- Copy of your employment agreement 
- Copy of your last three salary slips  
- Copy bank statement 
If you are an entrepreneur: 
- Copy of excerpt of Chamber of Commerce 
- Recent annual statistics  
- Copy of your passport  
The income requirement is at least 2,5 times the rent as net income","€ 50,-",Lutz Real Estate B.V.,-,"Openbaar parkeren, betaald parkeren en parkeervergunningen",-,-,-,-,-,-,01-04-2021,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
